Product,Consumer complaint narrative
Mortgage,"I had decided to cancel my homeowners insurance with one company, and go with another company 2 months prior to the end date of the policy. I had gone to a local branch to inform of the change, and make sure the company that I was leaving would not be paid and the new one would be paid for the upcoming year renewal. The representative took down all the information, and stated that she would make sure the now old insurance company would n't be paid, and would only release a payment to the new insurance company. I received a notice this week to inform that both insurance companies have been paid in a total amount over {$2400.00}. After paying two different insurance company Bank of America ran an out-of-cycle escrow analysis report knowing that two insurance companies had been paid ; which will cause my mortgage payment to increase effective XX/XX/XXXX, 2018 close to {$200.00}. I have contacted the branch representative who stated that she had forgot to get the information over to the mortgage company, and it was my responsibility to contact the insurance company to get the refund back on a cancelled policy. I was informed by the insurance company that a refund could take up to 7 weeks. In the meantime, the mortgage company knowing that an error was made on there end will not remove the escrow analysis which will cause the mortgage payment to increase."
Mortgage,"In XXXX, we filed a chapter XXXX bankruptcy in XXXX. In the bankruptcy we listed a house which had an FHA loan on it. The loan was serviced by Countrywide, who was purchased by Bank of America. We did not want to keep the property. The bankruptcy was approved, and our debts were discharged on XXXX. 

Since that time, the lender has refused to take the title to the house. We have made many attempts to sign over the deed. I have many notes of telephone calls, etc. They were not returned. This past year we even hired an attorney to contact BOA to facilitate signing over the deed. Her calls were not returned either. 

We have been told by several banks that we are unable to refinance our current mortgage or obtain a new one until this house is out of our name. Worse, we have been told that if the bank takes it by foreclosure, it will appear on our credit report as a new foreclosure, just as if a new financial crisis occurred instead of dating it back to XXXX. 

We believe that this situation is fundamentally unjust. We had to file for a bankruptcy due to a total XXXX. We are trying to get the fresh start which the bankruptcy laws are designed to provide. We have been managing our financial affairs quite well in the over six years that have past. How is it that Bank of America can be allowed to crush our future? 

We suspect that the whole problem is the FHA mortgage. As we understand it, when a borrower defaults, the US government steps in to make the mortgage payments. This continues as long as the house remains titled to the borrower. If the bank takes it back and sells it, the bank only receives a portion of any loss from the government. We understand that banks might or might not be the ultimate bondholders of the GNMA pool containing the mortgage. However a servicing fee is paid to the the bank. What inventive does Bank of America have to take back the title? From where we stand, they have no incentive. 

An interesting contrast is found with the other property we listed. That was not insured by the government. The lender with that mortgage took the title immediately, and sold it. The entire matter was complete within six months of discharge. 

We are asking the CFPB to investigate why this is taken so long, especially given the heavy documentation of our willingness to sign the deed over. Further we want the CFPB to insist that our credit not be harmed any further"
Mortgage,"Bank of America sent an escrow overpayment of {$3000.00} to XXXX XXXX on XX/XX/2019. The payment was not applied to my account with XXXX XXXX, instead it was applied to an incorrect account. I have contacted Bank of America multiple times since XX/XX/2019 to retrieve my money back from XXXX XXXX, but Bank of America has failed to do it. 

Bank of America claims XXXX XXXX is telling it no overpayment is due on this account, but when I go to XXXX XXXX, the city is telling me Bank of America 's money was applied to the wrong property 's account. XXXX XXXX refused to share information with me, advising me to go back to Bank of America and file a claim for overpayment to retrieve the money. However, Bank of America claims they have made many attempts and XXXX XXXX is telling them there is no overpayment. I am out of {$3000.00}. Bank of America keeps referring me to XXXX XXXX, and the city is referring me back to the bank, stating that it is not my account so it can not provide documentation to me since XX/XX/2019. 

There were no overdue bills with the XXXX XXXX XXXXXXXX that required Bank of America to send a payment on my escrow account. 

Please assist me in retrieving my money from the XXXX XXXX XXXXXXXX through Bank of America. 

The relevant mortgage account number is : XXXX The relevant property address is : XXXX XXXX XXXX, XXXX, MD, XXXX My XXXX XXXX customer account number is : XXXX XXXX XXXX XXXX XXXX XXXX"
Mortgage,"Bank of America , National Association Successor by Merger to BAC Home Loans Servicing FKA Countrywide Home Loans Servicing, LP ( "" Bank of America '' ) has never prepared for the last XXXX years in recordable form an assignment of the mortgage from Bank of America to XXXX trade name XXXX ( "" XXXX '' ) in the XXXX, State of Hawai'i, yet has, and continues to convey in all of Bank of America 's letters, court documents, notices, motions, and correspondents for countless years that Bank of America is the debt collector, the servicer, the investor, the creditor, the mortgagee, the lender, the note holder simultaneously for many, many years, but has never prepared in recordable form an assignment of mortgage from Bank of America to XXXX in the XXXX, State of Hawai'i for XXXX years. 
Go to Attachment. 
It is obviously to late now for Bank of America to address, cure, and remedy this XXXX that 's spread for the last XXXX years! 
There is also years, and years of tangible facts, and substantial evidence these countless fraudulent, and sick deceptive practices continues to plague the land records of every Municipality/County, State, and the United States of America."
Mortgage,"In the process of selling my house and need a lien release from Bank of America. A formal request was sent on XX/XX/XXXX. Have a closing date of XX/XX/XXXX and they still have yet to send the release. They have been contacted numerous times by the title company, the real estate company and myself and so far no resolution. Time is of the essence because of nearing closing date. Bank of America has had ample time to send lien release that I may sell my house."
Mortgage,"I fell behind on my mortgage in XXXX 2016 due to unemployment. I hired an attorney to help me submit my paperwork to Bank of America to ask for a loan modification to save my home. Bank of America confirmed they received my application in XXXX 2016. My attorney worked with them to get them all the requested documents for a complete financial package by early XXXX 2016. While I was in the review process, Bank of America mailed me an automatic Streamline Modification offer ( dated XXXX/XXXX/16 ; attached ). My attorney advised Bank of America that I was not interested in the Streamline Modification program because it has a higher payment than the HAMP program. My attorney repeatedly asked Bank of America to remove the Streamline Modification offer because I wanted to be reviewed for the HAMP modification program instead. Bank of America repeatedly told my attorney that they would review my loan for the HAMP program. Thus far they have NOT reviewed me for the HAMP program. They keep sending me letters trying to get me to accept the ( WORSE with a higher payment ) Streamline Mod offer. Now my attorney recently followed up with Bank of America and they state there is no review open any longer. Basically they cancelled my HAMP review because they are trying to force me to take the Streamline Modification offer that has a much higher payment than the HAMP program. Now the HAMP program has expired and Bank of America evaded reviewing me for the requested HAMP program. I know they had a complete file because they approved me for a modification on my 2nd mortgage. I do no think it was right for Bank of America to evade reviewing me for HAMP solely because their system had already approved me for a worse higher payment ( Streamline Mod ). My application was in before HAMP expired and Bank of American should not be able to evade reviewing me solely becuase they want me to take a worse program ( Streamline Mod )."
Mortgage,"Starts with a trial loan modification on XXXX/XXXX/XXXX and the handling of mortgage and escrow payments made monthly that were not deposited into the escrow account for 4 months during the trial loan modification period in violation of the trial loan modification. 

The disbursement of permanent loan modification funds to cover the shortfall of escrow that was short by ( {$38000.00} - {$35000.00} ) {$2500.00} The purchase and subsequent cancellation of a forced place hazard policy while coverage was already in place which resulted in a loss to escrow of {$520.00}. 

Overstating the monthly escrow payment by {$170.00} for a 5 month period by including the cost of hazard insurance purchased by the homeowner of {$2100.00} out of pocket and failing to deduct the amount already paid. In essence forcing the homeowner to pay a XXXX time to escrow for the same policy by XXXX service provider. 

Overstating the monthly escrow payment by {$1000.00} ( {$170.00} for 6 months ) by including the cost of hazard insurance purchased by the homeowner of {$2100.00} out of pocket and failing to deduct the amount already paid. In essence forcing the homeowner to pay a 2nd time to escrow for the same policy by the XXXX service provider. 

Based on the actions of the XXXX service provider as outlined above which transferred a - {$350.00} escrow balance to the XXXX service provider when the balance should have been {$5300.00} The XXXX service provider believing the handling and accounting by the XXXX service provider was accurate at - {$350.00}, added an additional {$3100.00} to escrow to cover the deficiency in the escrow balance making the escrow account further in the negative and again increase the monthly cost of escrow payments. 

{$2000.00} paid to the XXXX service provider in XXXX XXXX was held in "" suspense '' and not included in the accounting of my mortgage, escrow, and interest calculations as reported on federal tax forms for interest paid during XXXX. 

For just the items noted above, this amounts to {$12000.00} ( represents & gt ; XXXX mostly mortgage and escrow payments ) that I was stolen and misappropriated from me to meet the obligations of this home loan. 

As such, XXXX has filed a foreclosure suite which I am challenging in a countersuit citing numerous violations under XXXX, and violations of Florida XXXX XXXX False reports, etc., by officers of banks, trust companies, etc., with intent to defraud. And Florida Statutes XXXX Grand Theft which "" deprived counterplaintiff XXXX XXXX ) of the funds designated for escrow for their intended purpose. 

I have file records request with the court on XXXX, XXXX ; XXXX, XXXX ; and XXXX, XXXX to review all records pertaining to my account with no records being produced by XXXX or either of the XXXX service providers. The XXXX, XXXX request did come back with a statement that all records were privileged, and that my record request was nothing more that a fishing exercise. 

My rebuttal is that there are the records of how the funds were spent on my behalf through my mortgage and escrow payments, and how funds were disbursed from the permanent loan modification paid on my behalf through the making home affordable program. 

Thank You, XXXX XXXX XXXX XXXX XXXX XXXX"
Mortgage,"Bank of America misappropriated 2 months of XXXX of my properties/mortgage payments when they bought Countrywide. Ultimately, with the help from an attorney, the properties came out of default, my credit was cleared, or so I thought, and this was in 2010. Now, I 'm getting ready to refinance the XXXX properties in which I finally have equity, and the exact language on my credit report shows the following language : "" Status/Details : This item was updated from our processing of your dispute in XXXX 2010. '' Of course, the new lender wants this off my credit report. So I called Bank of America who told me to write a letter, which I did, requesting them to have the credit agencies delete that language. I followed up with a phone call, indicated by the person I spoke to on the phone. He told me that the address I send the letter to ( overnight mail ) does n't have any phones, so I ca n't call them to follow up in XXXX XXXX. He ( XXXX ) is located in XXXX Arizona. I asked him ; "" what can I do? '' He told me ... .you got it, "" send a letter to the address in XXXX XXXX XXXX '' I told him I already did, and he then proceeded to tell me they 'll have to research it, and that this could take between 28 and 30 days ; which I do n't have. 
So, my question to you is : If Bank of America is requiring I pay everything on time, which I do, did, and would continue, how come they are n't available EVER to answer my request. 
I can not tell you how incredibly frustrating this is. I hope they all go under in my life time. Sick of banks and the power they hold over small, really good consumers like me. 

Now, my question to you, what can I do? What will you do? or ... ... should I just take another XXXX and forget about it? Eagerly awaiting your answer,"
Mortgage,"I filed bankruptcy back in 2010 and it has been discharged for a few years now. I let my home go and Bank of America was he lender on this. I continue to get letters from them and statements after I have asked repeatedly for them to stop sending me these. I also asked them not to call me and they call me every once in awhile. The home started to go into the forclosure process. I recently got a letter about an application being submitted in my name and I did not submit any application. Bank of America is continuing to harass me and will not stop. They completely disregarded my cease and desist letter as well after they acknowleged they recieved it. I need to stop is is causing me health issues. I am not sleeping well and I ma have constant panic attacks. Please do something to make this stop. Property Address is XXXX XXXX XXXX XXXX XXXX, XXXX WA XXXX"
Mortgage,"I asked for a loan for boa, in the amount of XXXX with a five percent down, everything was going fine until the underwriter said it was impossible to comute form XXXX to XXXX where I work, so the bank wanted XXXX more because of my comute, I feel that is not fair to assume such thing, so I had to close the loan out after losing about XXXX in lawyer fees and a check to the broker to start the process.i feel boa should have told me upfront that they had problems with my commute.this was informed to me on XX/XX/18, two weeks into the loan process when my loan officer was telling me everything was all right."
Mortgage,"Dear CFPB, my home that was taken from in XX/XX/XXXX and i was told by bank of america that the it was conveyed back to XXXX XXXX and there is still no one occupy the property, at this moment i am pleading with CFPB to allow me to pick up from where i fell off and lower my monthly mortgage payment and allow me to return to my home, i choose this property in XX/XX/XXXX left my footprint in the dirt then watch my home { The XXXX Model } built and then in XX/XX/XXXX i move in, I was so exited, as a single parent raising XXXX children and wanted the best for them i choose a neighborhood i wanted them to be safe so i knew then i had to work hard to keep up with my mortgage and that exactly what i did, i even open my own business and then the recession hit i fell back on my mortgage payment i spent XXXX of dollar to Lawyers and Agencies to help me save my home but unfortunately because the lack of my knowledge my home that i built and lived for fifteen years was conveyed back to the investor XXXX  XXXX, and right now i am pleading with XXXX XXXX please to have some mercy and allowed me to go back home"
Mortgage,"I owned a house at XXXX XXXX XXXX, XXXX XXXX XXXX, WV. through Bank of America. ( Account # XXXX ). My ex-wife and I divorced in XX/XX/XXXX and house awarded to me with the stipulation that it be sold. Ex-wife had not made payments during marriage and I got a HUD loan to catch up on payments. Was unable to sell house and county court reversed decision and awarded house to ex-wife, XXXX XXXX XXXX XXXX in XXXX. In XX/XX/XXXX, flood took the house. Had flood insurance and Flood Insurance Settlement BANA paid mortgage off in XX/XX/XXXX. HUD loan was attached to mortgage in refinance. Since that time, I have been paying the US Dept of Treasury for what I thought was a school loan, but after contacting them found out that it was for a HUD loan on the house. I told them that the mortgage was paid off from flood insurance, but they did not get paid off. This should have been paid off by flood insurance. The Flood Insurance Settlement ( BANA ) claim number that should have paid off this debt is XXXX. Please help me settle this. I have to pay {$180.00} dollars monthly to HUD and my wife and I live on a fixed income."
Mortgage,"A filing error was made by my attorney 's office when filing my trust documents. due to this error, my property value was uncapped and my property taxes went from {$5000.00} to {$150000.00}. Due to my escrow account with Bank of America I knew nothing about this until I received and Escrow analysis raising my monthly payment from $ XXXX to $ XXXX to make up the difference. They gave me 2 options : pay XXXX payment, or pay off the negative balance on my escrow account. I borrowed the money and paid the balance and closed my escrow account. ( in excess of {$10000.00} ) Over the next 6 months I worked with my attorney and the tax accessors office and was able to go before the review board where they recapped my property value. In XX/XX/2022 the XXXX XXXX 's office issued a refund for the over payment on my taxed in the amount of {$9000.00}. They returned the money to Bank of America as they were the ones who paid the tax bill. Since XXXX I have been attempting to secure a refund of {$9000.00} from Bank of America. From the list of names provided, you can see I have tried numerous times. On XXXX I spoke with supervisor XXXX XXXX XXXX in Pennsylvania, email address : XXXX, phone number XXXX who said she would expedite the refund, but it would take 2 - 4 weeks to process. It has now been in excess of 4 weeks, so today I spoke with supervisor XXXX XXXX no further identification was offered or received ) who told me the case number XXXX indicated there were detailed notes attached, but she could not locate them. She said she could not determine where the money is, nor when it would be refunded. they are holding my tax refund adn refund to return it to me."
Mortgage,"In 2012 I filed for bankruptcy starting with a chapter XXXX then moving to chapter XXXX. Attempted to work with Bank of America ( BofA ) to modify my loan on my own and they denied me 6 times. I final went to a local company here in XXXX, Ca. I worked with XXXX XXXX ; she filled out the paperwork and I finally got approved for modification. After returning the modification paperwork and 6 months to 1 year of making the trial payments BofA finally place me back in a normal status. Some months later I noticed my mortgage wasn't on my credit report, I promptly called BofA and was told by their Mortgage Lending Department that they were obligated to report because I didn't fill out and sign a form guaranteeing my loan. I told them that wasn't fair because I signed EVERYTHING they sent. They responded by telling me I could refinance the house and then and only then would they provide me with the document necessary obligating them to report my mortgage."
Mortgage,"Bank of America purchased my loan from Countrywide. The loan statements at that time and since then have been extremely inaccurate with over XXXX "" Misc '' postings XXXX in excess of {$100000.00}. I have requested an explanation and corrected loan statement many times without one being furnished. Bank of America latest loan servicer - XXXX XXXX XXXX now say that the information is not available. Bank of America is still using the amounts that they can not substantiate as the amount due on the loan."
Mortgage,"To whom it may concern : I bought my home on XX/XX/XXXX. The seller had a payoff with First Franklin Financial Corp which was collected on the XXXX at the closing. Fast forward to today. I am now selling my home and it is under contract and our closing date was XX/XX/XXXX, however has been prevented due to this issue. The current title company has been trying to get a lien release from the previous mortgage company and or a cancelled check from the previous closing title company XXXX XXXX XXXX law firm ( XXXX XXXX ) in XXXX Ky. The law firm refuses to give the cancelled check that is proof the loan was paid off and the mortgage company refuses to send a lien release. Here is the problem : First Franklin Financial CorpXXXX no longer exists which was the previous sellers mortgage company, Bank of America now owns First Franklin. I need to get this resolved in order to close on the sale of my home. 

First Franklin Financial Corp., a subsidiary of XXXX XXXXXX/XX/XXXX Loan No. XXXX. ( There is a XXXX at the end, but I do not believe this is a part of the loan number. ) Bank of America phone number is XXXX, with reference number XXXX. 

Please note we do not have a Bank of America account number. 

This is added information to the prior complaint that I have filed on XX/XX/XXXX"
Mortgage,"I took out a mortgage with Bank of America in XXXX of XXXX  Because I hold my primary bank accounts ( savings and checking ) with Bank of America, it should be easy and seamless to withdraw the funds from my bank account to pay my mortgage account. A representative at the bank helped me set up my mortgage account in XXXX  to do this. 

However, it has been confirmed for me, just within the last couple of weeks, that the payments were set up incorrectly in XXXX and, when my escrow recently increased, the payments the bank has been withdrawing have been less than my new mortgage payment. I noticed that I had a small overdue balance months ago and called the bank only to be told that it was set up to 'correct itself ' and I did not need to take any action. I paid this no further attention because, again, my payments are set up to be taken automatically from the bank. However, I recently started receiving phone calls that I was behind on my mortgage payments. 

So I called the bank on XX/XX/XXXX and the representative confirmed that my mortgage account was set up incorrectly by the bank in XXXX. Specifically, my payments were set up to be made through automatic "" Bill Pay '' rather than a "" Pay Plan ''. I was never advised of this, even though I asked the question multiple times. The representative waived most of the late fees the bank assessed but noted that there was an additional {$47.00} that the system would not allow him to process since it was a "" partial fee ''. He instructed me to call mortgage customer service to have this fee waiver processed. As for correcting future payments, the bank 's system will not allow me to set up the proper "" Pay Plan '' going forward until this is reconciled. 

I called mortgage customer service on XX/XX/XXXX as instructed. I was on the phone for XXXX minutes explaining the situation to 3 different representatives only to be told that their system would not allow them to process the waiver since the issue goes back further than 12 months. I was told a supervisor would contact me. On XX/XX/XXXX I called again since I did not receive the promised call from the supervisor at the bank. I was told this time that there is no way they can waive the fee because their systems don't allow it. 

So, in summary, Bank of America set up my mortgage account incorrectly, told me it was correct when I inquired about it, withdrew insufficient funds from my banking account, charged me late fees as a result of their error, and made my ability to set up future payments contingent on paying these fees ( or else incurring additional late fees ). All of my conversations with the bank are documented in my file with them. The difference is less than {$50.00} but, on principle, I should not be expected to pay for this. I, again, am requesting that the bank process a waiver for the remaining {$46.00} so that I can they set up my "" Pay Plan '' properly going forward. Also, their reps should be trained on this process so this does not happen to other customers, assuming this was a mistake and not a sanctioned process within the bank for more fraudulent purposes."
Mortgage,"I listed my home for sale in 2012, and had a HELOC with Bank of America. Since I moved out of the property and had issues selling the home, I fell behind on my payments and opted for loan modification/short sale/deed-in-lieu options. I repeatedly filled out forms, supplied the necessary supporting financial documents, and B of A did not respond. When I finally was able to secure a buyer for a short sale, I again filled out the forms, and B of A persisted in being uncooperative and would not approve the sale. 
This continued repeatedly for several years, as no less than three qualified prospective buyers came and went, eventually giving up and withdrawing their bids due to B of A 's delays. My RE seller agent even contacted our local representative for assistance but to no avail. Eventually, the RE company no longer wanted to represent the sale because of the issues incurred by B of A. Even when a RE investment company offered to purchase the deed, B of A would not allow the deed transfer and now the matter is going to court. Meanwhile, there is a lis pendens on my property and I am now facing foreclosure and damage to my credit. All this could have been avoided had Bank of America not led me to believe that there were actually alternatives to foreclosure as they stated in several mailings."
Mortgage,"More than a year ago, my home ( which was an investment property was seized by the Board of Directors in a Lawsuit and Fraud was in question when the Board and the Management Company imposed a XXXX assessment on a 30 unit condo building in which I owned and rented one of the units. I currently have a lawsuit for malpractice against the attorney who handled my case. 
I have no idea who is living in my condo, and it appears that the Board and the Management Company has extended their stay. 
I contacted Bank of America 's Loss Mitigation department, and the Bank refuses to initiate any type of investigation. 
The Bank is neglecting to foreclose so I can get my home off my credit report, and is charging me monthly thousands of dollars to pay a mortgage when I wanted a Mitigation Loss investigator, and my home has been in foreclosure for more than a year. I have made this request several times and the bank refuses to investigate."
Mortgage,"I purchased a house in Massachusetts back in XXXX with Countrywide Bank in the amount of $ XXXX. In XXXX I could not afford my mortgage payments and the bank initiate a short sale process in my primary house. I tried to negotiate with BOA but the Bank did not want to make a fair agreement. My house was sold to a 3rd party for a half of the amount owed to BOA. 
Bank of America owned both mortgage by then. The house was sold in XXXX. In my perspective both loans will be cover by the sale. BOA never informed myself that I could have a deficient judgement against me. Few weeks a go a collection name XXXX XXXX XXXX XXXX contact me trying to collect an AMOUNT OF {$61000.00} saying that Bank of America transfer my 2nd Mortgage to them in XXXX XXXX. At this point the house was not even sold and I was living in the house. 
My complaint is : How come BOA sold this loan to a collection before the house was sold? 
Unfortunately I did not had any legal support in order to give me and my family orientation in regarding to remained balances of this mortgage. 
How came they want to came after myself with both loans was done when the house was purchased. 
Please help me to solve this situation. If this is true I would need to file for bankruptcy since I do not have the funds to pay."
Mortgage,"XX/XX/2023 - Without notification, my mortgage loan was transferred from Bank of America to XXXX XXXX DBA XXXXXXXX XXXX 

XX/XX/2023 - I called first Bank of America to find out why my balance was not available on the automated system. They informed me my loan was sold to "" XXXX XXXX '' and gave me their contact number as XXXX. I then contacted the number given and was told not to pay Bank of America that day since the XXXX ( XXXX XXXX XXXX ) representative said, "" sometimes the payments have trouble getting to us. '' I opted to delay my XX/XX/XXXX payment to allow the "" 5 business days '' she said it would take for my account to come up in their system. She also gave me a website to check to see if my loan had been transferred yet, XXXX XXXX XXXX Because of other judgments against XXXX XXXX, including misappropriation of funds, missed tax payments from escrow, and the fines they currently owe, I checked into getting my mortgage refinanced through several channels. Currently, federal regulations do not allow for a refinance due to the current rates and balance still owed on my mortgage. It was taken out recently when rates were low, so it is reasonable to assume Bank of America sold it off to invest in something with a higher return. 

XX/XX/2023 - I tried the website to see if it recognized my information. It did not, so I called Bank of America to see if there was another "" loan number '' associated with the account. The representative told me that XXXX XXXX should still be able to take a payment and asked me to call them. I did so, and when I did the woman said that the loan was still not in the system. I asked to speak to her supervisor, who, when I demanded, gave me a payment address of "" XXXX XXXX XXXX, XXXX, TX XXXX. '' When I asked if she could then guarantee that payments I sent to that address would be credited to my account, she said, "" I can not guarantee that. '' I then told her that I must make a payment to someone now, or the payment will not be received by XX/XX/XXXX, and I was opting to pay Bank of America instead because they had received my payments and had credited them successfully. I then called Bank of America and reported my payment made to them through my bank 's bill pay system, and gave the date they should receive said payment as XX/XX/2023. 

I have a few questions : - Why is XXXX XXXX still allowed to do business if they have several judgments against them for fraud? 
- Why is Bank of America allowed to sell my loan servicing to an entity with such a sordid past? 
- If XXXX XXXX has a payment address, why can't they receive, and credit, payments sent to that address? 
- Why, when they said it would take 5 business days to transfer the loan, has it taken more than 6 business days, and it still is not transferred? 
- Why was the loan sold on XX/XX/XXXX, which is a Saturday? 

I'd like an answer to these questions, however, I realize some of them may have no answer. 

I ask the transfer from Bank of America to XXXX XXXX DBA XXXX XXXX be terminated and made of null effect, leaving the servicing of my mortgage in the hands of Bank of America. I think this is a reasonable request considering the number of legal judgments against XXXX XXXX DBA XXXXXXXX XXXX  has against them."
Mortgage,"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that BANKAMERICA has been reported completely in accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to mis-report. Moreconfirmation of the aforesaid item too. My proper request mustover, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!"
Mortgage,"Thanks to my complaint to consumer finance, BOA ( who sold my mortgage to FHA and got compensation ) felt obligated to "" help '' by instructing the loan servicer ( XXXX XXXX XXXX XXXX ) to review my case. After sending the usual paperwork and package requested by "" XXXX '' I was told over the phone that my loan mod request was denied unless I fork over {$56000.00} to the bank. I just do n't have that kind of money. So I asked that a denial letter be sent to me or my attorney. I 've received everything from "" XXXX '' but the denial letter. In fact I just received another letter from "" XXXX '' offering help AGAIN. The new offer came with a notice from the court informing me that my house will be auctioned in a few days. Nice strategy from BOA and XXXX XXXX XXXX, but I am still waiting for the denial letter. I wonder why I still do n't receive it ... I guess it got stuck in traffic. Helping me keep my house is not in the bank interest. It 's more profitable to sell the property. These guys were bailed out by the government. They should return the same favor to desperate homeowners. I am not asking for a free house.I have a steady job. All I asked is an affordable payment plan. But it 's impossible for BOA and XXXX XXXX XXXX to provide such help. BECAUSE I COULD NOT COME UP WITH {$56000.00}."
Mortgage,"I have been XXXX since XX/XX/XXXX, and purchased my home after my divorce in XX/XX/XXXX. Due to special needs and ongoing medical expenses, I knew my mortgage payment was more that I could afford, so I contacted Bank of America to see what we could do. They sent me forms by fedex, and I filled them out, but I could never get past that point and reaching the person handling the service on my loan was a series of phone tag. I filed for Chapter XXXX in XX/XX/XXXX, but this did n't change my monthly outlay of expenses. In XX/XX/XXXX, I was approved for Social Security XXXX, but this caused my private XXXX company to stop paying my benefits. My income has been reduced by more than XXXX % since XXXX XXXX. I filed a consumer complaint about my mortgage, and Bank of America wanted me to file for the hardest hit fund first. I did this, was approved and gave Bank of America the same paperwork to rework my mortgage. I was given the email address of the person handling my loan and submitted documents requested, but the only response I received was a letter they were still waiting on missing documents and they closed my request. The hardest hit fund pays my home loan for 13 months from XXXX XXXX, but I will need my loan to be modified in order to keep my home. I believe I qualify and I need Bank of America to complete the process. I am a full-time single parent with XXXX. 
I do not have a XXXX or XXXX XXXX owned loan, which is where a lot of relief is. Mine is just a 30 year fixed FHA loan."
Mortgage,"Boa se

nt a 30-Day late payment to the credit bureau during the pandemic. I paid off my mortgage making the last and final payment. The 30-Day remark should be immediately removed from credit report. This voilates the cares act."
Mortgage,"XX/XX/XXXX I began a modification for my Home Equity Loan with the holder of the loan, Bank of America. After a very frustrating process of them losing documents and re-asking for documents that I had already submitted, they approved the modification XX/XX/XXXX. They sent me documents and we returned them signed in a timely fashion. B of A then signed and return the loan documents and our first payment was XX/XX/XXXX. We have made our payments on time since. Then XX/XX/XXXX they sent out new documents that our modification had been approved. I did not understand. We had completed everything with a signed loan agreement from B of A. When I called they did not give me an answer. Just that I needed to sign. I explain that 4 months ago I had completed the process and have been making my payments on time. After several weeks of going back and forth, they admitted that there was a miscalculation in my loan, but no explanation as to the mistake. I told them that I would not sign new documents as I already have a signed loan agreement with them. What 's to say, if I sign, that they wo n't come back again in 5 months and ask to change them again. I continue to make my payments in a timely matter. They continue to call and tell me to sign or they will withdraw the modification. I have a legal agreement with them. I need help to get them to stand by the original loan documents."
Mortgage,"In XX/XX/XXXX, my wife and I was told by my account manager at Bank America that due to Hurricane Irma which affected our home in XXXX Florida, we /I would be eligible for a 90 Days Forbearance so that we/I may repair our home damaged by Hurricane Irma and at the end of 90 day Forbearance that I may request another 90 days Forbearance period and it would be put on the end of the loan. Over the past 5 months we were also told that we did not have to apply for a modification and there is no needed for a modification since the bank would automatically place any missing payments on the backend of the mortgage loan and the loan would be extended automaically. Today our roof is still not fixed and some repairs were made and we are also l awaiting resolution with our public adjuster estimated lost of {$160000.00}. which has been submitted to the home insurance company for a new roof. Since XX/XX/XXXX when trying to make payment arrangements we are told that any months behind during forbearance will be put on the end of the loan and we can extend the forbearance again to XX/XX/XXXX. We are told again that we would have to wait until the forbearance is finished before any payments arrangements could be made. As of today my wife wante to make payment arrangements to pay regular payment plus additional funds o XXXX starting XX/XX/XXXX however again my wife is told that the bank could not accept payment arrangements without modification application. So we have completed application for modification and payment arrangements. As of today we are also that the Mortgage would no longer be serviced by Bank of America and it will now be serviced by XXXX XXXX as ofXX/XX/XXXXand this was requested by XXXX XXXX XXXX XXXX The Investor request. As of XX/XX/XXXX to date since we are consistently being mislead we are asking for XXXX to help us to come to a resolution for Bank of America to accept payment arrangements so we could bring our mortgage payments current and not be transferred to XXXX"
Mortgage,"Bank of America told my wife and I that we had to be 90 days late on our mortgage in order to short sale our home. Therefore we, got behind on our mortgage and when the short sale was finally approved and we had an offer on the house it had been a year because Bank of America held it up so they could keep charging late fees and penalties. Now on top of having a short sale on my credit I have a years worth of late payments on my credit. Now I have poor credit and cant get another home loan right now."
Mortgage,"I am a XXXX veteran that closed on a HELOC loan for $ XXXX in XXXX 2006 with XXXX XXXX XXXX. The loan was sold to Bank of America and my monthly payment is {$420.00}. I tried to refinance the loan through a few credit unions for veterans and have no success. Currently the loan is in a foreclosure status due to my unemployment. I have a buyer for my home and need for BOA to stop the foreclosure fees and process, and they are unwilling to do."
